timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726656118889,1679,Login 2,200,OK,Thread Group 1-1,text,true,,4130,247,2,2,https://eda.smartforum.online/login?username=mubashir&password=test123,1669,0,1078
1726656119225,1342,Login 2,200,OK,Thread Group 1-2,text,true,,4128,247,2,2,https://eda.smartforum.online/login?username=mubashir&password=test123,1332,0,741
1726656120628,40641,1.1- Analyze Video Request (POST),200,OK,Thread Group 1-1,text,true,,674,16438792,2,2,https://eda.smartforum.online/analyze_video,40641,0,0
1726656120622,40647,1.1- Analyze Video Request (POST),200,OK,Thread Group 1-2,text,true,,672,16438804,2,2,https://eda.smartforum.online/analyze_video,40647,0,0
1726656161285,303,1.2- Analyze Video Request (GET) ,200,OK,Thread Group 1-1,text,true,,23469,1668,2,2,https://eda.smartforum.online/analyze_video?job_id=790,290,0,0
1726656161285,304,1.2- Analyze Video Request (GET) ,200,OK,Thread Group 1-2,text,true,,23469,1668,2,2,https://eda.smartforum.online/analyze_video?job_id=791,303,0,0
1726656161635,249,1.3- Frames Chart (GET),200,OK,Thread Group 1-2,text,true,,9367,1667,2,2,https://eda.smartforum.online/frames-chart?job_id=791,248,0,0
1726656161635,251,1.3- Frames Chart (GET),200,OK,Thread Group 1-1,text,true,,9365,1667,2,2,https://eda.smartforum.online/frames-chart?job_id=790,250,0,0
1726656161891,504,2.1- Text Analysis (POST),201,Created,Thread Group 1-2,text,true,,679,1980,2,2,https://eda.smartforum.online/text-analysis,504,0,0
1726656161891,507,2.1- Text Analysis (POST),201,Created,Thread Group 1-1,text,true,,689,1977,2,2,https://eda.smartforum.online/text-analysis,507,0,0
1726656162400,200,2.2- Text Analysis (GET) ,200,OK,Thread Group 1-2,text,true,,1476,1692,2,2,https://eda.smartforum.online/text-analysis?job_id=792&page=1&per_page=1000000,200,0,0
1726656162401,199,2.2- Text Analysis (GET) ,200,OK,Thread Group 1-1,text,true,,1476,1692,2,2,https://eda.smartforum.online/text-analysis?job_id=793&page=1&per_page=1000000,199,0,0
1726656162607,564,3.1- Text Analysis by File,201,Created,Thread Group 1-1,text,true,,681,2022,2,2,https://eda.smartforum.online/text-analysis,564,0,0
1726656162606,581,3.1- Text Analysis by File,201,Created,Thread Group 1-2,text,true,,689,2034,2,2,https://eda.smartforum.online/text-analysis,581,0,0
1726656163227,7,Debug Sampler,200,OK,Thread Group 1-1,text,true,,1816,0,2,2,null,0,0,0
1726656163227,7,Debug Sampler,200,OK,Thread Group 1-2,text,true,,1816,0,2,2,null,0,0,0
1726656163236,46672,1.1- Analyze Video Request (POST),200,OK,Thread Group 1-2,text,true,,678,16438807,2,2,https://eda.smartforum.online/analyze_video,46672,0,0
1726656163236,46720,1.1- Analyze Video Request (POST),200,OK,Thread Group 1-1,text,true,,684,16438807,2,2,https://eda.smartforum.online/analyze_video,46720,0,0
1726656209911,310,1.2- Analyze Video Request (GET) ,200,OK,Thread Group 1-2,text,true,,23469,1668,2,2,https://eda.smartforum.online/analyze_video?job_id=798,306,0,37
1726656209959,266,1.2- Analyze Video Request (GET) ,200,OK,Thread Group 1-1,text,true,,23467,1668,2,2,https://eda.smartforum.online/analyze_video?job_id=799,264,0,25
1726656210227,300,1.3- Frames Chart (GET),200,OK,Thread Group 1-2,text,true,,9363,1667,2,2,https://eda.smartforum.online/frames-chart?job_id=798,295,0,0
1726656210264,270,1.3- Frames Chart (GET),200,OK,Thread Group 1-1,text,true,,9369,1667,2,2,https://eda.smartforum.online/frames-chart?job_id=799,270,0,0
