timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727261694533,733,Login 2  Sep-25-2024  15-54-54 C:\Users\Shekhani Laptops\Desktop\HHH.mp4,404,Not Found,Thread Group 1-1,text,false,access_token NOT Found,855,247,2,2,https://eda.smartforum.online/login?username=mubashir&password=test123,732,0,247
1727261695032,530,Login 2  Sep-25-2024  15-54-54 C:\Users\Shekhani Laptops\Desktop\III.mp4,404,Not Found,Thread Group 1-2,text,false,access_token NOT Found,856,247,2,2,https://eda.smartforum.online/login?username=mubashir&password=test123,530,0,247
1727261695268,81969,1.1- Analyze Video Request (POST)---Through CSV,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer,Thread Group 1-1,text,false,Expected to find an object with property ['job_id'] in path $ but found 'java.lang.String'. This is not a json object according to the JsonProvider: 'com.jayway.jsonpath.spi.json.JsonSmartJsonProvider'.,3401,0,2,2,https://eda.smartforum.online/analyze_video,0,0,0
1727261777239,0,1.2- Analyze Video Request (GET) ,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 54: https://eda.smartforum.online/analyze_video?job_id=Job ID Not Found,Thread Group 1-1,text,false,"Value in json path '$..id' expected to match regexp 'Job ID Not Found', but it did not match: '[]'",1220,0,2,2,https://eda.smartforum.online/analyze_video?job_id=Job ID Not Found,0,0,0
1727261777240,0,1.3- Frames Chart (GET),Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 53: https://eda.smartforum.online/frames-chart?job_id=Job ID Not Found,Thread Group 1-1,text,false,Expected to find an object with property ['chart_data'] in path $ but found 'java.lang.String'. This is not a json object according to the JsonProvider: 'com.jayway.jsonpath.spi.json.JsonSmartJsonProvider'.,1219,0,2,2,https://eda.smartforum.online/frames-chart?job_id=Job ID Not Found,0,0,0
1727261777242,1,Debug Sampler,200,OK,Thread Group 1-1,text,true,,509,0,2,2,null,0,0,0
1727261695562,100068,1.1- Analyze Video Request (POST)---Through CSV,500,Internal Server Error,Thread Group 1-2,text,false,Expected to find an object with property ['job_id'] in path $ but found 'java.lang.String'. This is not a json object according to the JsonProvider: 'com.jayway.jsonpath.spi.json.JsonSmartJsonProvider'.,925,16437342,1,1,https://eda.smartforum.online/analyze_video,100068,0,0
1727261795631,0,1.2- Analyze Video Request (GET) ,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 54: https://eda.smartforum.online/analyze_video?job_id=Job ID Not Found,Thread Group 1-2,text,false,"Value in json path '$..id' expected to match regexp 'Job ID Not Found', but it did not match: '[]'",1220,0,1,1,https://eda.smartforum.online/analyze_video?job_id=Job ID Not Found,0,0,0
1727261795632,0,1.3- Frames Chart (GET),Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 53: https://eda.smartforum.online/frames-chart?job_id=Job ID Not Found,Thread Group 1-2,text,false,Expected to find an object with property ['chart_data'] in path $ but found 'java.lang.String'. This is not a json object according to the JsonProvider: 'com.jayway.jsonpath.spi.json.JsonSmartJsonProvider'.,1219,0,1,1,https://eda.smartforum.online/frames-chart?job_id=Job ID Not Found,0,0,0
1727261795632,0,Debug Sampler,200,OK,Thread Group 1-2,text,true,,509,0,1,1,null,0,0,0
