timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727846955780,867,Login 2  Oct-02-2024  10-29-15 C:\Users\Shekhani Laptops\Desktop\III.mp4,404,Not Found,Thread Group 1-2,text,false,access_token NOT Found,854,247,3,3,https://eda.smartforum.online/login?username=mubashir&password=test123,866,0,291
1727846955456,1220,Login 2  Oct-02-2024  10-29-15 C:\Users\Shekhani Laptops\Desktop\HHH.mp4,404,Not Found,Thread Group 1-1,text,false,access_token NOT Found,856,247,3,3,https://eda.smartforum.online/login?username=mubashir&password=test123,1220,0,488
1727846956115,965,Login 2  Oct-02-2024  10-29-15 C:\Users\Shekhani Laptops\Desktop\KKK.mp4,404,Not Found,Thread Group 1-3,text,false,access_token NOT Found,850,247,3,3,https://eda.smartforum.online/login?username=mubashir&password=test123,964,0,273
1727846957081,35135,1.1- Analyze Video Request (POST)---Through CSV,500,Internal Server Error,Thread Group 1-3,text,false,Expected to find an object with property ['job_id'] in path $ but found 'java.lang.String'. This is not a json object according to the JsonProvider: 'com.jayway.jsonpath.spi.json.JsonSmartJsonProvider'.,956,16437327,3,3,https://eda.smartforum.online/analyze_video,35135,0,0
1727846992217,0,1.2- Analyze Video Request (GET) ,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 54: https://eda.smartforum.online/analyze_video?job_id=Job ID Not Found,Thread Group 1-3,text,false,"Value in json path '$..id' expected to match regexp 'Job ID Not Found', but it did not match: '[]'",1220,0,3,3,https://eda.smartforum.online/analyze_video?job_id=Job ID Not Found,0,0,0
1727846992218,0,1.3- Frames Chart (GET),Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 53: https://eda.smartforum.online/frames-chart?job_id=Job ID Not Found,Thread Group 1-3,text,false,Expected to find an object with property ['chart_data'] in path $ but found 'java.lang.String'. This is not a json object according to the JsonProvider: 'com.jayway.jsonpath.spi.json.JsonSmartJsonProvider'.,1219,0,3,3,https://eda.smartforum.online/frames-chart?job_id=Job ID Not Found,0,0,0
1727846992218,0,Debug Sampler,200,OK,Thread Group 1-3,text,true,,508,0,3,3,null,0,0,0
1727846956677,58748,1.1- Analyze Video Request (POST)---Through CSV,500,Internal Server Error,Thread Group 1-1,text,false,Expected to find an object with property ['job_id'] in path $ but found 'java.lang.String'. This is not a json object according to the JsonProvider: 'com.jayway.jsonpath.spi.json.JsonSmartJsonProvider'.,925,16437345,2,2,https://eda.smartforum.online/analyze_video,58748,0,0
1727847015426,0,1.2- Analyze Video Request (GET) ,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 54: https://eda.smartforum.online/analyze_video?job_id=Job ID Not Found,Thread Group 1-1,text,false,"Value in json path '$..id' expected to match regexp 'Job ID Not Found', but it did not match: '[]'",1220,0,2,2,https://eda.smartforum.online/analyze_video?job_id=Job ID Not Found,0,0,0
1727847015426,0,1.3- Frames Chart (GET),Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 53: https://eda.smartforum.online/frames-chart?job_id=Job ID Not Found,Thread Group 1-1,text,false,Expected to find an object with property ['chart_data'] in path $ but found 'java.lang.String'. This is not a json object according to the JsonProvider: 'com.jayway.jsonpath.spi.json.JsonSmartJsonProvider'.,1219,0,2,2,https://eda.smartforum.online/frames-chart?job_id=Job ID Not Found,0,0,0
1727847015427,0,Debug Sampler,200,OK,Thread Group 1-1,text,true,,509,0,2,2,null,0,0,0
1727846956650,61444,1.1- Analyze Video Request (POST)---Through CSV,500,Internal Server Error,Thread Group 1-2,text,false,Expected to find an object with property ['job_id'] in path $ but found 'java.lang.String'. This is not a json object according to the JsonProvider: 'com.jayway.jsonpath.spi.json.JsonSmartJsonProvider'.,931,16437321,1,1,https://eda.smartforum.online/analyze_video,61444,0,0
1727847018095,0,1.2- Analyze Video Request (GET) ,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 54: https://eda.smartforum.online/analyze_video?job_id=Job ID Not Found,Thread Group 1-2,text,false,"Value in json path '$..id' expected to match regexp 'Job ID Not Found', but it did not match: '[]'",1220,0,1,1,https://eda.smartforum.online/analyze_video?job_id=Job ID Not Found,0,0,0
1727847018096,0,1.3- Frames Chart (GET),Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 53: https://eda.smartforum.online/frames-chart?job_id=Job ID Not Found,Thread Group 1-2,text,false,Expected to find an object with property ['chart_data'] in path $ but found 'java.lang.String'. This is not a json object according to the JsonProvider: 'com.jayway.jsonpath.spi.json.JsonSmartJsonProvider'.,1219,0,1,1,https://eda.smartforum.online/frames-chart?job_id=Job ID Not Found,0,0,0
1727847018096,0,Debug Sampler,200,OK,Thread Group 1-2,text,true,,509,0,1,1,null,0,0,0
